id,x,y
1,0.0,10.0
2,0.5,11.2
3,1.0,12.4
4,1.5,13.6
5,2.0,14.8
6,2.5,16.0
7,3.0,17.2
8,3.5,18.4
9,4.0,19.6
10,4.5,20.799999999999997
11,5.0,22.0
12,5.5,23.2
13,6.0,24.4
14,6.5,25.6
15,7.0,26.8
16,7.5,28.0
17,8.0,29.2
18,8.5,30.4
19,9.0,31.599999999999998
20,9.5,32.8
21,10.0,34.0
22,10.5,35.2
23,11.0,36.4
24,11.5,37.599999999999994
25,12.0,38.8
26,12.5,40.0
27,13.0,41.2
28,13.5,42.4
29,14.0,43.6
30,14.5,44.8
31,15.0,46.0
32,15.5,47.199999999999996
33,16.0,48.4
34,16.5,49.6
35,17.0,50.8
36,17.5,52.0
37,18.0,53.199999999999996
38,18.5,54.4
39,19.0,55.6
40,19.5,56.8
41,20.0,58.0
42,20.5,59.199999999999996
43,21.0,60.4
44,21.5,61.6
45,22.0,62.8
46,22.5,64.0
47,23.0,65.19999999999999
48,23.5,66.4
49,24.0,67.6
50,24.5,68.8
51,25.0,70.0
52,25.5,71.19999999999999
53,26.0,72.4
54,26.5,73.6
55,27.0,74.8
56,27.5,76.0
57,28.0,77.2
58,28.5,78.39999999999999
59,29.0,79.6
60,29.5,80.8
61,30.0,82.0
62,30.5,83.2
63,31.0,84.39999999999999
64,31.5,85.6
65,32.0,86.8
66,32.5,88.0
67,33.0,89.2
68,33.5,90.39999999999999
69,34.0,91.6
70,34.5,92.8
71,35.0,94.0
72,35.5,95.2
73,36.0,96.39999999999999
74,36.5,97.6
75,37.0,98.8
76,37.5,100.0
77,38.0,101.2
78,38.5,102.39999999999999
79,39.0,103.6
80,39.5,104.8
81,40.0,106.0
82,40.5,107.2
83,41.0,108.39999999999999
84,41.5,109.6
85,42.0,110.8
86,42.5,112.0
87,43.0,113.2
88,43.5,114.39999999999999
89,44.0,115.6
90,44.5,116.8
91,45.0,118.0
92,45.5,119.2
93,46.0,120.39999999999999
94,46.5,121.6
95,47.0,122.8
96,47.5,124.0
97,48.0,125.19999999999999
98,48.5,126.39999999999999
99,49.0,127.6
100,49.5,128.8
